INFO:root:Запущен импорт данных, используются файлы:C:/Users/pc/PycharmProjects/for_vkr/input_text.csvC:/Users/pc/PycharmProjects/for_vkr/output.csv
INFO:root:Импорт данных успешно завершен
2022-02-12 12:26:14,298 - [INFO] - root - (main.py).auntentification(196) - ПользовательAdmin успешно авторизован
2022-02-12 12:32:05,282 - [INFO] - root - (main.py).auntentification(182) - Попытка входа в систему
2022-02-12 12:32:05,317 - [INFO] - root - (main.py).auntentification(197) - Пользователь  успешно авторизован
2022-02-12 12:32:12,978 - [INFO] - root - (main.py).auntentification(182) - Попытка входа в систему
2022-02-12 12:32:12,993 - [INFO] - root - (main.py).auntentification(212) - Пользователь f не авторизован. Не найден пользователь или неверный пароль.
2022-02-12 12:53:09,785 - [INFO] - root - (main.py).auntentification(186) - Попытка входа в систему
2022-02-12 12:53:09,823 - [INFO] - root - (main.py).auntentification(201) - Пользователь  успешно авторизован
2022-02-12 12:53:13,441 - [DEBUG] - h5py._conv - (attrs.py).create(199) - Creating converter from 5 to 3
2022-02-12 12:53:14,072 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-02-12 12:53:14,073 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
